k,cityblock,cosine,euclidean,haversine,l1,l2,manhattan,nan_euclidean
1,0.3043407745018419,3.549654778383811,0.2900169050633653,3.7845046554696102,0.3043407745018419,0.2900169050633653,0.3043407745018419,0.2905122679894155
2,0.2008354659053496,2.8907120640690493,0.1976366058328404,2.6398660610458613,0.2008354659053496,0.1976366058328404,0.2008354659053496,0.1949105299665043
3,0.2108257375847547,2.619880727887175,0.1991376162436915,2.328712877357398,0.2108257375847547,0.1991376162436915,0.2108257375847547,0.2035510950427489
4,0.25248530606784,2.3542905385037627,0.2293250926941071,2.1826785174780565,0.25248530606784,0.2293250926941071,0.25248530606784,0.230986772947455
5,0.2843570448553806,2.2133036531903696,0.2534917176577103,2.1904448614075527,0.2843570448553806,0.2534917176577103,0.2843570448553806,0.2526768872205117
