k,cityblock,cosine,euclidean,l1,l2,manhattan,nan_euclidean
1,0.2984588563606847,3.4197233366396307,0.2607453720236516,0.2984588563606847,0.2607453720236516,0.2984588563606847,0.2607453720236516
2,0.1869098536999565,2.791611280384663,0.1846971948379252,0.1869098536999565,0.1846971948379252,0.1869098536999565,0.1846971948379252
3,0.1982945656480428,2.5200538136808808,0.1970703930464994,0.1982945656480428,0.1970703930464994,0.1982945656480428,0.1970703930464994
4,0.2249804142651767,2.317306037137348,0.219360078354857,0.2249804142651767,0.219360078354857,0.2249804142651767,0.219360078354857
5,0.2494174663159232,2.189008002014857,0.2400754815936303,0.2494174663159232,0.2400754815936303,0.2494174663159232,0.2400754815936303
