k,average_mse
1,0.07691723784161751
2,0.05448715852492012
3,0.05934999384152646
4,0.07064868645162548
5,0.0814816194550729
6,0.09234714772357434
7,0.1035716752302981
8,0.11356562623122145
9,0.12298796933505891
