latitude,longitude,value,mean,median,mse_mean,mse_median,method
510000,6000,9.082024574,8.66720780791935,8.650081476745441,0.17207294942160842,0.18657483926586108,SVM_bootstrap_imputed_original_stats.csv
522000,6000,9.211622238,8.747624760554771,8.745403303552346,0.2152936590755359,0.21736009483750668,SVM_bootstrap_imputed_original_stats.csv
534000,6000,8.998277664,8.701827408645403,8.728044993147773,0.08788275389980532,0.07302569639592812,SVM_bootstrap_imputed_original_stats.csv
894000,6000,8.309407234,8.542536742777955,8.53832795908395,0.0543493678630505,0.052404698372961724,SVM_bootstrap_imputed_original_stats.csv
906000,6000,7.996752262,8.542536742777955,8.53832795908395,0.2978806994580615,0.2933042356719669,SVM_bootstrap_imputed_original_stats.csv
498000,18000,8.291751862,8.525248077449424,8.506677507609037,0.054520482629203934,0.046193033140461526,SVM_bootstrap_imputed_original_stats.csv
546000,18000,8.011863708,8.436791935967637,8.422191023621693,0.18056399892371625,0.16836850594530436,SVM_bootstrap_imputed_original_stats.csv
558000,18000,8.139260292,8.246591085305127,8.196678679086023,0.011519899191508006,0.0032968711755604727,SVM_bootstrap_imputed_original_stats.csv
906000,18000,7.860764027,8.542536742777955,8.53832795908395,0.46481403597924786,0.4590928820610644,SVM_bootstrap_imputed_original_stats.csv
486000,30000,8.51194191,8.645971500804011,8.651500971908096,0.01796393121109087,0.01947673176066795,SVM_bootstrap_imputed_original_stats.csv
558000,30000,8.474336624,8.466239635019138,8.450043441719762,6.556123055619664e-05,0.000590158705300833,SVM_bootstrap_imputed_original_stats.csv
486000,42000,9.492903709,8.66910734702976,8.679112701216457,0.678640445995403,0.6622558043493543,SVM_bootstrap_imputed_original_stats.csv
558000,42000,9.072347641,8.59176661897012,8.599032824164041,0.23095811873528493,0.2240269158364575,SVM_bootstrap_imputed_original_stats.csv
486000,54000,9.522169113,8.708469672488517,8.723323590595665,0.6621067794887004,0.6381541686654548,SVM_bootstrap_imputed_original_stats.csv
570000,54000,9.126864433,8.683316867608598,8.698995672945408,0.1967344427646399,0.1830716758306539,SVM_bootstrap_imputed_original_stats.csv
582000,54000,9.167705536,8.773272132555114,8.770746999347866,0.15557770975311602,0.1575760798210036,SVM_bootstrap_imputed_original_stats.csv
786000,54000,9.143795967,8.54253677265776,8.5383280058413,0.36151261878108043,0.36659145198967324,SVM_bootstrap_imputed_original_stats.csv
486000,66000,9.46211338,8.676797679123112,8.696899873417358,0.6167207500437576,0.5855517106565027,SVM_bootstrap_imputed_original_stats.csv
582000,66000,9.216580391,8.57821455693816,8.575525735175486,0.4075109380974691,0.4109510717542876,SVM_bootstrap_imputed_original_stats.csv
786000,66000,9.274912834,8.542551137173476,8.538483349965075,0.5363536549786262,0.5423283849559463,SVM_bootstrap_imputed_original_stats.csv
798000,66000,9.244146347,8.54265321578976,8.538797563171293,0.4920926131351447,0.49751690684863437,SVM_bootstrap_imputed_original_stats.csv
810000,66000,9.478525162,8.543047328672962,8.539251501846808,0.8751187766462498,0.8822350086575751,SVM_bootstrap_imputed_original_stats.csv
858000,66000,9.15818119,8.544097573760546,8.538905855050576,0.3770986877337262,0.3835019404767221,SVM_bootstrap_imputed_original_stats.csv
870000,66000,9.016919136,8.541358346333078,8.534882806425903,0.22615806466862626,0.23235902302926728,SVM_bootstrap_imputed_original_stats.csv
594000,78000,9.629060745,8.710793338840865,8.741151376109787,0.8432150292142256,0.7883830473630166,SVM_bootstrap_imputed_original_stats.csv
798000,78000,9.346918106,8.544553369164344,8.546142725846472,0.6437891709173521,0.6412412094600273,SVM_bootstrap_imputed_original_stats.csv
810000,78000,9.162029266,8.549085494782606,8.55040697473482,0.3757000666742005,0.37408182717246824,SVM_bootstrap_imputed_original_stats.csv
822000,78000,8.873765945,8.554948972481693,8.556412691657284,0.10164426196573934,0.10071308740720632,SVM_bootstrap_imputed_original_stats.csv
834000,78000,8.608192444,8.580982946052373,8.59208844750385,0.0007403567785619272,0.0002593387031480336,SVM_bootstrap_imputed_original_stats.csv
846000,78000,9.018061638,8.556757765280494,8.565834045410156,0.21280126298601462,0.20450979549960635,SVM_bootstrap_imputed_original_stats.csv
882000,78000,9.003185272,8.510733420832548,8.492834512496366,0.24250882571825033,0.26045789772593614,SVM_bootstrap_imputed_original_stats.csv
6000,90000,11.90082359,10.721540150059704,10.723677702138474,1.390709431717417,1.3856724413093002,SVM_bootstrap_imputed_original_stats.csv
18000,90000,11.77329731,10.721545750970822,10.723704987336989,1.1061813419203064,1.1016440437931352,SVM_bootstrap_imputed_original_stats.csv
474000,90000,9.271114349,8.495101021494152,8.496420472476332,0.6021966844666973,0.6001506023232667,SVM_bootstrap_imputed_original_stats.csv
486000,90000,8.66860199,8.577898522474715,8.57721570770838,0.008227119021110535,0.00835145259108387,SVM_bootstrap_imputed_original_stats.csv
594000,90000,8.974430084,8.617996625925677,8.625919663171292,0.1270448100348198,0.12145951342620313,SVM_bootstrap_imputed_original_stats.csv
738000,90000,9.279377937,7.814746648021345,7.816374761645774,2.145144812655274,2.140378291096548,SVM_bootstrap_imputed_original_stats.csv
750000,90000,9.248614311,7.815423383704028,7.816981958721582,2.0540362340834912,2.0495711920902377,SVM_bootstrap_imputed_original_stats.csv
834000,90000,8.680383682,8.551564168325145,8.552563655918243,0.016594467103426297,0.016337959067541045,SVM_bootstrap_imputed_original_stats.csv
846000,90000,9.003284454,8.549146969505053,8.550666984038289,0.20624085482339788,0.2048625741145399,SVM_bootstrap_imputed_original_stats.csv
