subregion_,avg_mse
91,4.244386696525164
80,3.022159171952152
98,2.744526038314443
4,2.5985434766780324
5,2.586708237017481
24,2.181694535229529
79,2.122518161781249
110,2.0443089552846017
97,1.801221879861975
81,1.1248719898834434
39,1.0495248119128806
90,1.013435286999016
78,0.9075837637080719
113,0.8942534516467104
43,0.8194562818397125
42,0.7580569742159717
94,0.7532056860293758
64,0.6983031919026872
7,0.64494211977297
87,0.5197286708004627
93,0.5024445887822179
