latitude,longitude,value,imputed_value
510000.0,6000.0,9.082024574279785,8.861224174499512
522000.0,6000.0,9.21162223815918,8.954608917236328
534000.0,6000.0,8.99827766418457,8.78359349568685
894000.0,6000.0,8.309407234191895,8.773180643717447
906000.0,6000.0,7.996752262115479,8.533952077229818
498000.0,18000.0,8.291751861572266,8.81140391031901
546000.0,18000.0,8.011863708496094,8.713323911031088
558000.0,18000.0,8.139260292053223,8.726577758789062
906000.0,18000.0,7.860764026641846,8.705740610758463
486000.0,30000.0,8.511941909790039,9.314643859863281
558000.0,30000.0,8.474336624145508,8.607060750325521
486000.0,42000.0,9.492903709411621,9.19926675160726
558000.0,42000.0,9.072347640991211,8.802453676859537
486000.0,54000.0,9.52216911315918,9.038586298624674
570000.0,54000.0,9.126864433288574,8.735695838928223
582000.0,54000.0,9.167705535888672,8.767197291056315
786000.0,54000.0,9.14379596710205,8.513796965281168
486000.0,66000.0,9.462113380432129,9.054554303487143
582000.0,66000.0,9.216580390930176,8.713836034138998
786000.0,66000.0,9.27491283416748,8.513796965281168
798000.0,66000.0,9.244146347045898,8.74880584081014
810000.0,66000.0,9.478525161743164,8.942605972290039
858000.0,66000.0,9.158181190490723,8.891453425089518
870000.0,66000.0,9.016919136047363,8.891453425089518
594000.0,78000.0,9.629060745239258,8.718243916829428
798000.0,78000.0,9.346918106079102,8.65703280766805
810000.0,78000.0,9.162029266357422,8.942605972290039
822000.0,78000.0,8.87376594543457,8.891453425089518
834000.0,78000.0,8.608192443847656,8.891453425089518
846000.0,78000.0,9.018061637878418,8.891453425089518
882000.0,78000.0,9.003185272216797,8.935377756754557
6000.0,90000.0,11.900823593139648,10.842195192972818
18000.0,90000.0,11.773297309875488,10.842195192972818
474000.0,90000.0,9.271114349365234,8.977055867513021
486000.0,90000.0,8.668601989746094,8.977055867513021
594000.0,90000.0,8.974430084228516,8.86772886912028
738000.0,90000.0,9.279377937316895,8.74650796254476
750000.0,90000.0,9.248614311218262,8.958483695983887
834000.0,90000.0,8.680383682250977,8.891453425089518
846000.0,90000.0,9.003284454345703,8.957192103068033
858000.0,90000.0,8.9120454788208,8.957192103068033
894000.0,90000.0,8.747065544128418,8.794994990030924
918000.0,90000.0,8.584779739379883,8.231759707132975
474000.0,102000.0,9.203536987304688,8.985624631245932
594000.0,102000.0,9.32335090637207,9.09494686126709
738000.0,102000.0,9.252703666687012,8.74650796254476
750000.0,102000.0,9.313019752502441,8.958483695983887
870000.0,102000.0,8.518178939819336,8.826275507609049
918000.0,102000.0,8.146500587463379,8.282927831013998
930000.0,102000.0,8.348965644836426,8.27186139424642
942000.0,102000.0,8.721983909606934,8.380492528279623
474000.0,114000.0,9.143528938293457,8.997739791870117
606000.0,114000.0,9.391433715820312,9.00495179494222
654000.0,114000.0,9.075817108154297,8.890494664510092
666000.0,114000.0,9.258221626281738,9.029799143473307
750000.0,114000.0,9.3242769241333,8.958483695983887
762000.0,114000.0,9.218240737915039,8.82757822672526
834000.0,114000.0,8.633484840393066,8.221118291219076
846000.0,114000.0,8.23406982421875,8.27702267964681
858000.0,114000.0,8.408150672912598,8.258790334065756
882000.0,114000.0,8.942867279052734,8.662333806355795
942000.0,114000.0,8.838134765625,8.380492528279623
474000.0,126000.0,9.021245002746582,9.074146270751953
606000.0,126000.0,9.31139087677002,8.722143173217773
642000.0,126000.0,8.860730171203613,8.890494664510092
678000.0,126000.0,9.462370872497559,9.047297159830729
