latitude,longitude,subregion_,value,imputed_value
294000.0,258000.0,46,10.309666633605957,9.191953003101535
306000.0,258000.0,46,9.86715030670166,9.240919803024921
318000.0,258000.0,46,9.825319290161133,9.221143103115985
378000.0,258000.0,33,10.38194465637207,10.024257346100566
546000.0,258000.0,35,9.202716827392578,8.89367958756684
966000.0,258000.0,39,7.627480506896973,7.6316314521070225
42000.0,270000.0,43,10.994719505310059,10.33213146637976
150000.0,270000.0,44,9.312195777893066,9.171477229032046
186000.0,270000.0,45,11.310733795166016,10.344920904717965
378000.0,270000.0,47,9.574419975280762,9.067397665441575
546000.0,270000.0,49,9.0708646774292,8.777595684358836
966000.0,270000.0,53,8.078049659729004,7.748940627734704
30000.0,282000.0,43,11.231014251708984,10.203656562898944
42000.0,282000.0,43,10.93317699432373,10.472844988520105
150000.0,282000.0,44,9.031333923339844,8.951739469150427
174000.0,282000.0,44,10.601103782653809,10.499111054499547
378000.0,282000.0,47,10.023757934570312,9.769083634268176
546000.0,282000.0,49,8.956733703613281,8.909248408718708
966000.0,282000.0,53,7.859417915344238,7.680013101415741
54000.0,294000.0,43,11.065836906433105,10.715152206830943
66000.0,294000.0,43,11.105429649353027,10.73968057067434
378000.0,294000.0,47,10.05858039855957,9.9078483346141
510000.0,294000.0,48,9.310648918151855,8.739490183907174
522000.0,294000.0,48,9.335672378540039,8.824727893667426
534000.0,294000.0,48,9.738121032714844,9.073588509229483
882000.0,294000.0,52,8.406278610229492,8.633424407472162
906000.0,294000.0,53,7.745611190795898,7.550347831221418
966000.0,294000.0,53,8.060131072998047,7.595981719189442
78000.0,306000.0,43,10.951732635498047,10.615565823429632
390000.0,306000.0,47,10.65096378326416,10.32541501067862
486000.0,306000.0,48,9.511775970458984,8.914078788730375
498000.0,306000.0,48,9.463155746459961,8.930212893202366
870000.0,306000.0,52,8.836753845214844,9.082800408459729
918000.0,306000.0,53,7.324874877929688,7.224780282163623
966000.0,306000.0,53,7.939837455749512,7.58539766967539
90000.0,318000.0,43,10.225308418273926,10.204014828468955
390000.0,318000.0,47,10.59953784942627,10.393139574990382
462000.0,318000.0,48,10.006720542907715,9.383665411489313
474000.0,318000.0,48,9.683414459228516,9.278011527303013
870000.0,318000.0,52,8.738130569458008,9.024114888957794
918000.0,318000.0,53,7.764118194580078,7.815220062428121
978000.0,318000.0,53,7.888026714324951,7.885007232798671
990000.0,318000.0,54,7.853960514068604,8.038436147031678
1002000.0,318000.0,54,7.513593196868896,8.044721133488624
1014000.0,318000.0,54,8.226239204406738,8.058464599998304
1026000.0,318000.0,54,8.213888168334961,8.059071792802436
90000.0,330000.0,43,10.390324592590332,10.297582360208413
402000.0,330000.0,47,10.209809303283691,10.293848862389705
414000.0,330000.0,47,10.062338829040527,10.107777021438643
426000.0,330000.0,47,9.823982238769531,9.93257627850297
438000.0,330000.0,47,9.898670196533203,9.817365208868944
450000.0,330000.0,47,9.924849510192871,9.757353522919681
870000.0,330000.0,52,8.870684623718262,8.801184267721895
930000.0,330000.0,53,7.820345878601074,7.740853120876896
1026000.0,330000.0,54,7.997652053833008,8.084563603251638
90000.0,342000.0,43,10.61170482635498,10.228187808192729
870000.0,342000.0,52,8.743416786193848,8.401540557972144
954000.0,342000.0,53,7.979116916656494,7.832578215560768
966000.0,342000.0,53,7.863232135772705,7.776324429981114
978000.0,342000.0,54,8.161559104919434,8.136374182914151
1038000.0,342000.0,68,8.132622718811035,8.18180618852233
1050000.0,342000.0,68,8.215909004211426,8.184440466669242
78000.0,354000.0,57,10.9896240234375,10.241395438190144
870000.0,354000.0,66,8.607823371887207,8.062973707910647
990000.0,354000.0,54,8.303850173950195,8.053977389782371
1002000.0,354000.0,54,8.157179832458496,8.0525778637298
1050000.0,354000.0,68,8.250723838806152,8.192851974155
66000.0,366000.0,57,10.845863342285156,10.245228595900725
78000.0,366000.0,57,11.172734260559082,10.256107883943118
690000.0,366000.0,64,9.303810119628906,9.2393696468271
702000.0,366000.0,64,8.982893943786621,9.104434625293134
714000.0,366000.0,65,8.86649227142334,8.614548097287974
738000.0,366000.0,65,8.743351936340332,8.511559542123898
870000.0,366000.0,66,8.662410736083984,8.22238534401578
1014000.0,366000.0,68,8.308759689331055,8.184486841546056
1026000.0,366000.0,68,8.223379135131836,8.18504906611497
1050000.0,366000.0,68,8.263080596923828,8.183854973270027
78000.0,378000.0,57,10.53243350982666,10.26196097034516
678000.0,378000.0,64,9.046504974365234,8.910180917045848
750000.0,378000.0,65,8.576183319091797,8.23315469017827
762000.0,378000.0,65,8.5410737991333,8.131619277181846
870000.0,378000.0,66,8.274389266967773,8.181943946274687
1038000.0,378000.0,68,8.279243469238281,8.183713440964205
1050000.0,378000.0,68,8.278594017028809,8.183732412285849
78000.0,390000.0,57,10.526738166809082,10.287223452253823
666000.0,390000.0,64,8.233682632446289,8.351831521234699
774000.0,390000.0,65,8.067575454711914,8.030725352062506
786000.0,390000.0,65,8.023009300231934,8.042277000346479
870000.0,390000.0,66,8.429549217224121,8.213669158671262
1134000.0,390000.0,70,7.409056663513184,7.584005297959049
1146000.0,390000.0,70,7.531191349029541,7.584005298542019
78000.0,402000.0,57,10.691036224365234,10.304486455746641
654000.0,402000.0,64,8.57763957977295,8.51462613936271
798000.0,402000.0,65,8.46077823638916,8.079506306405788
810000.0,402000.0,66,8.612761497497559,8.256821677982785
822000.0,402000.0,66,8.287161827087402,8.194645371762729
870000.0,402000.0,66,8.701818466186523,8.282429718263106
1134000.0,402000.0,70,8.0029935836792,7.584031956102451
1146000.0,402000.0,70,8.013275146484375,7.5841170075520905
90000.0,414000.0,57,10.851061820983887,10.862293190050288
642000.0,414000.0,64,8.993122100830078,8.602289639635957
834000.0,414000.0,66,8.26754093170166,7.8750300413730905
846000.0,414000.0,66,8.206905364990234,7.9150163980583095
858000.0,414000.0,66,8.505244255065918,8.138230527409082
1146000.0,414000.0,70,7.99858283996582,7.610369349605395
1158000.0,414000.0,70,7.854012489318848,7.622827716639013
90000.0,426000.0,57,10.747940063476562,10.874720336278298
594000.0,426000.0,63,9.188672065734863,9.02613799915827
606000.0,426000.0,63,8.988237380981445,8.848883834423201
618000.0,426000.0,63,8.852425575256348,8.59475681252549
630000.0,426000.0,64,9.076580047607422,8.595905989117998
1074000.0,426000.0,68,7.830873966217041,8.183791875756084
1146000.0,426000.0,69,7.967672824859619,7.746976375579834
1170000.0,426000.0,70,7.616276264190674,7.731735126880598
1182000.0,426000.0,70,7.328472137451172,7.566928990039296
1194000.0,426000.0,70,7.430697917938232,7.574894757698759
78000.0,438000.0,57,10.928885459899902,10.318523797238818
