shapefile_path,number_of_points
Permutations/min\sum\UK_imputation_sum.shp,0
Permutations/min\rms\UK_imputation_rms.shp,0
Permutations/med\bilinear\UK_imputation_bilinear.shp,64
Permutations/med\cubic\UK_imputation_cubic.shp,64
Permutations/med\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/med\lanczos\UK_imputation_lanczos.shp,0
Permutations/med\average\UK_imputation_average.shp,373
Permutations/med\mode\UK_imputation_mode.shp,373
Permutations/med\max\UK_imputation_max.shp,373
Permutations/med\min\UK_imputation_min.shp,373
Permutations/med\med\UK_imputation_med.shp,373
Permutations/med\q1\UK_imputation_q1.shp,373
Permutations/med\q3\UK_imputation_q3.shp,373
Permutations/med\sum\UK_imputation_sum.shp,374
Permutations/med\rms\UK_imputation_rms.shp,373
Permutations/q1\bilinear\UK_imputation_bilinear.shp,64
Permutations/q1\cubic\UK_imputation_cubic.shp,64
Permutations/q1\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/q1\lanczos\UK_imputation_lanczos.shp,0
Permutations/q1\average\UK_imputation_average.shp,373
Permutations/q1\mode\UK_imputation_mode.shp,373
Permutations/q1\max\UK_imputation_max.shp,373
Permutations/q1\min\UK_imputation_min.shp,373
Permutations/q1\med\UK_imputation_med.shp,373
Permutations/q1\q1\UK_imputation_q1.shp,373
Permutations/q1\q3\UK_imputation_q3.shp,373
Permutations/q1\sum\UK_imputation_sum.shp,373
Permutations/q1\rms\UK_imputation_rms.shp,373
Permutations/q3\bilinear\UK_imputation_bilinear.shp,64
Permutations/q3\cubic\UK_imputation_cubic.shp,64
Permutations/q3\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/q3\lanczos\UK_imputation_lanczos.shp,0
Permutations/q3\average\UK_imputation_average.shp,371
Permutations/q3\mode\UK_imputation_mode.shp,371
Permutations/q3\max\UK_imputation_max.shp,371
Permutations/q3\min\UK_imputation_min.shp,371
Permutations/q3\med\UK_imputation_med.shp,371
Permutations/q3\q1\UK_imputation_q1.shp,371
Permutations/q3\q3\UK_imputation_q3.shp,371
Permutations/q3\sum\UK_imputation_sum.shp,375
Permutations/q3\rms\UK_imputation_rms.shp,371
Permutations/sum\bilinear\UK_imputation_bilinear.shp,64
Permutations/sum\cubic\UK_imputation_cubic.shp,64
Permutations/sum\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/sum\lanczos\UK_imputation_lanczos.shp,0
Permutations/sum\average\UK_imputation_average.shp,377
Permutations/sum\mode\UK_imputation_mode.shp,377
Permutations/sum\max\UK_imputation_max.shp,377
Permutations/sum\min\UK_imputation_min.shp,377
Permutations/sum\med\UK_imputation_med.shp,377
Permutations/sum\q1\UK_imputation_q1.shp,377
Permutations/sum\q3\UK_imputation_q3.shp,377
Permutations/sum\sum\UK_imputation_sum.shp,378
Permutations/sum\rms\UK_imputation_rms.shp,377
Permutations/rms\bilinear\UK_imputation_bilinear.shp,64
Permutations/rms\cubic\UK_imputation_cubic.shp,64
Permutations/rms\cubic_spline\UK_imputation_cubic_spline.shp,64
Permutations/rms\lanczos\UK_imputation_lanczos.shp,0
Permutations/rms\average\UK_imputation_average.shp,377
Permutations/rms\mode\UK_imputation_mode.shp,377
Permutations/rms\max\UK_imputation_max.shp,377
Permutations/rms\min\UK_imputation_min.shp,377
Permutations/rms\med\UK_imputation_med.shp,377
Permutations/rms\q1\UK_imputation_q1.shp,377
Permutations/rms\q3\UK_imputation_q3.shp,377
Permutations/rms\sum\UK_imputation_sum.shp,380
Permutations/rms\rms\UK_imputation_rms.shp,377
Permutations/nearest\nearest\UK_imputation_nearest.shp,64
Permutations/bilinear\nearest\UK_imputation_nearest.shp,64
Permutations/cubic\nearest\UK_imputation_nearest.shp,64
Permutations/cubic_spline\nearest\UK_imputation_nearest.shp,64
Permutations/lanczos\nearest\UK_imputation_nearest.shp,64
Permutations/average\nearest\UK_imputation_nearest.shp,64
Permutations/mode\nearest\UK_imputation_nearest.shp,64
Permutations/max\nearest\UK_imputation_nearest.shp,0
Permutations/min\nearest\UK_imputation_nearest.shp,0
Permutations/med\nearest\UK_imputation_nearest.shp,64
Permutations/q1\nearest\UK_imputation_nearest.shp,64
Permutations/q3\nearest\UK_imputation_nearest.shp,64
Permutations/sum\nearest\UK_imputation_nearest.shp,64
Permutations/rms\nearest\UK_imputation_nearest.shp,64
