latitude,longitude,value,mean,median,mse_mean,mse_median,method
894000,6000,5.341691494,4.061152064900228,4.062602738002791,1.6397812294791696,1.6360680457184866,SVM_bootstrap_Original_stats.csv
906000,6000,5.621836185,4.061152064900228,4.062602738002791,2.4357349227315996,2.431208942234798,SVM_bootstrap_Original_stats.csv
906000,18000,5.608723164,4.061152064900228,4.062602738002791,2.394976306768875,2.3904883716857888,SVM_bootstrap_Original_stats.csv
786000,54000,4.206410885,4.061153548954405,4.062602738002791,0.021099693675063133,0.020680783142770873,SVM_bootstrap_Original_stats.csv
786000,66000,4.141295433,4.063052194900286,4.06660396193066,0.006122004308328503,0.005578815850501994,SVM_bootstrap_Original_stats.csv
798000,66000,4.142486572,4.065465303133858,4.070070065841767,0.005932275857750539,0.005244150364165419,SVM_bootstrap_Original_stats.csv
810000,66000,4.021750927,4.068301336715015,4.074340119377345,0.0021669406446357324,0.0027656231549013483,SVM_bootstrap_Original_stats.csv
858000,66000,4.136784077,4.0553515758174505,4.053296980893633,0.006631252248845875,0.006970095216273641,SVM_bootstrap_Original_stats.csv
870000,66000,4.060382843,4.055915167105422,4.055626000449646,1.996012789899804e-05,2.262755104886174e-05,SVM_bootstrap_Original_stats.csv
594000,78000,2.674547434,3.050824014671323,3.0264184811420023,0.14158406516170255,0.12381323381680924,SVM_bootstrap_Original_stats.csv
798000,78000,4.074169159,4.119311772279465,4.128043826188162,0.0020378555336993103,0.0029024797646352222,SVM_bootstrap_Original_stats.csv
810000,78000,3.87759757,4.163155870971022,4.1943284026935945,0.08154354325345696,0.10031842037877788,SVM_bootstrap_Original_stats.csv
882000,78000,3.889431,4.015930127683417,4.007078962430862,0.016002029304665346,0.013841043064133505,SVM_bootstrap_Original_stats.csv
6000,90000,2.349380016,3.021123440063484,3.0245273534734816,0.45123922777253384,0.4558239272975312,SVM_bootstrap_Original_stats.csv
18000,90000,2.369478703,3.021121427276856,3.024527248046783,0.4246382401029627,0.42908859636790747,SVM_bootstrap_Original_stats.csv
738000,90000,3.435080767,7.115870959603931,7.069100898552339,13.54821644196928,13.206102316527678,SVM_bootstrap_Original_stats.csv
750000,90000,3.490111828,7.113584596505596,7.067088241401683,13.129554904101612,12.794760262031966,SVM_bootstrap_Original_stats.csv
834000,90000,4.053636551,4.08242274845441,4.084535086755391,0.0008286451638842502,0.0009547195118271643,SVM_bootstrap_Original_stats.csv
846000,90000,3.897060633,4.075902617443328,4.076734186637184,0.031984455399627416,0.03228258587661398,SVM_bootstrap_Original_stats.csv
894000,90000,4.788927078,5.462717535635767,5.130340204199195,0.45399358080101626,0.11656292274110704,SVM_bootstrap_Original_stats.csv
918000,90000,5.810172558,5.155577568938324,5.249977805138386,0.42849459970465514,0.3138181611336848,SVM_bootstrap_Original_stats.csv
