latitude,longitude,mean,median,ci_lower,ci_upper
942000.0,78000.0,3.8600416724084803,3.860295974067102,3.8417468185916657,3.878336526225295
858000.0,126000.0,5.4613363231729215,5.473985625976837,5.450223747391941,5.472448898953902
570000.0,162000.0,3.116457216008413,3.110120472172454,3.109386299644211,3.123528132372615
414000.0,546000.0,2.0410269647032564,2.0417652510730897,2.039243792689438,2.042810136717075
90000.0,486000.0,2.672370047416603,2.6634765213814733,2.661016634080667,2.683723460752539
150000.0,246000.0,3.586592236389485,3.5872541687805404,3.5792287730891625,3.593955699689807
246000.0,642000.0,1.8892480366334676,1.8902764282483377,1.8885357779075005,1.8899602953594348
714000.0,366000.0,2.308680259145896,2.3028011852977763,2.303011101412127,2.3143494168796654
30000.0,186000.0,3.2677965999467733,3.261197788937556,3.2605349647272543,3.2750582351662922
462000.0,330000.0,4.889377887289332,4.870377706862445,4.878209492426119,4.900546282152546
642000.0,414000.0,2.1679505949380484,2.17571550103772,2.164315320903331,2.171585868972766
966000.0,258000.0,4.157414994717937,4.120461635856492,4.143921195471211,4.170908793964662
654000.0,222000.0,5.111272733329172,5.099063789913951,5.105275343880248,5.117270122778097
1146000.0,450000.0,3.2494674159272705,3.2528611470718265,3.244362564183632,3.254572267670909
534000.0,222000.0,3.5624964263407963,3.5424342476560504,3.551557657487644,3.5734351951939485
990000.0,354000.0,2.472497838122914,2.4856877731038005,2.4655029594590117,2.479492716786816
978000.0,342000.0,2.51928564090639,2.533349826465405,2.513396134007523,2.5251751478052573
738000.0,186000.0,7.434374741215962,7.39485264055897,7.403053328272705,7.46569615415922
546000.0,210000.0,3.781864290197849,3.767166378326574,3.7725468477463284,3.7911817326493695
330000.0,258000.0,5.316494276598089,5.326343471026572,5.283361415778622,5.3496271374175555
966000.0,342000.0,2.587408632848979,2.5968321495010125,2.5825891873317217,2.592228078366236
198000.0,234000.0,4.53506618824308,4.524488191311614,4.525832034788646,4.5443003416975145
822000.0,402000.0,2.6528202365954416,2.6523773678570066,2.649972646664821,2.6556678265260625
942000.0,66000.0,3.702077091730809,3.68606416898767,3.6819657052483445,3.722188478213273
186000.0,594000.0,1.8834941651478125,1.8822647766186955,1.882036598558357,1.8849517317372682
546000.0,306000.0,4.00913223220452,4.00223220171287,3.993589356147105,4.024675108261934
174000.0,282000.0,3.879245467374708,3.884011257998557,3.8655644839568812,3.8929264507925345
1038000.0,378000.0,2.76439972297306,2.7733835506412534,2.758677451498676,2.7701219944474444
1074000.0,414000.0,2.9153950230520387,2.9155037478185015,2.9093643556367823,2.921425690467295
246000.0,210000.0,3.587088192434767,3.5665836473150883,3.5783558151795067,3.595820569690027
534000.0,210000.0,3.7551125605899247,3.7521683753782584,3.746839888985373,3.7633852321944765
258000.0,222000.0,3.7449839659720676,3.748144331483362,3.7291438521392988,3.7608240798048365
138000.0,210000.0,3.09598582912163,3.120091568484853,3.0824868235652034,3.109484834678056
726000.0,174000.0,6.676460952010797,6.644570614979354,6.653232161398215,6.699689742623379
858000.0,66000.0,3.7243285337490977,3.721675256235729,3.715546548092123,3.7331105194060723
1158000.0,426000.0,3.3905311756316596,3.385904861483997,3.385916281886413,3.3951460693769064
138000.0,642000.0,2.2992259743361343,2.295997145985179,2.2970486383672455,2.301403310305023
666000.0,210000.0,5.014590458721088,5.0110236744036705,5.005446061731521,5.0237348557106545
894000.0,90000.0,4.2911481124850654,4.287282784767574,4.2830142602752295,4.299281964694901
954000.0,342000.0,2.500348923289269,2.5012360896203605,2.4963260362297457,2.504371810348792
462000.0,114000.0,3.4950488863846143,3.501987943298797,3.475108819432595,3.5149889533366334
822000.0,66000.0,3.655744433677512,3.6708501913985208,3.6428472539797516,3.6686416133752724
522000.0,486000.0,2.2592726835937227,2.2611287515170355,2.254630218049303,2.263915149138142
870000.0,282000.0,2.295886673418892,2.2890944264552484,2.290447740457482,2.3013256063803023
774000.0,138000.0,5.728078239171339,5.713941019831936,5.703609506543121,5.752546971799556
222000.0,162000.0,3.2061711873899985,3.197033265089087,3.1968389130573756,3.2155034617226215
1146000.0,414000.0,3.4003137115380495,3.3970603116219977,3.395684857085699,3.4049425659904
90000.0,426000.0,2.481615962779257,2.4655664897314047,2.475986554448051,2.487245371110463
726000.0,138000.0,5.685476305980396,5.665569759033294,5.665613633687892,5.7053389782729
150000.0,294000.0,3.2626834143868275,3.254826119057259,3.2560657037632295,3.2693011250104256
630000.0,210000.0,4.119027652570423,4.117007467237961,4.10944578358761,4.128609521553235
18000.0,162000.0,2.9432891569099815,2.9253013366477574,2.9356919779953317,2.9508863358246313
834000.0,126000.0,5.53827830075142,5.548124793066278,5.525635069345106,5.5509215321577345
102000.0,474000.0,2.5631892202315023,2.5690123689374924,2.5556567017960243,2.5707217386669803
354000.0,558000.0,2.029035753184547,2.0283147879091477,2.028337200046795,2.029734306322299
1182000.0,426000.0,3.6566989445600413,3.6477204234244063,3.648164127728159,3.6652337613919235
378000.0,558000.0,2.059747956563175,2.0610754781132745,2.058623850722296,2.060872062404054
690000.0,330000.0,2.508979050547587,2.5064941038657618,2.506487430545327,2.5114706705498473
870000.0,294000.0,2.1675336059279737,2.1727975516199276,2.1618216860016517,2.1732455258542958
138000.0,630000.0,2.3723463017568465,2.3719711025198467,2.3707850759201405,2.3739075275935524
378000.0,222000.0,3.8629343805875536,3.819510133846339,3.8332768527248784,3.8925919084502287
930000.0,162000.0,4.486127471748092,4.484955516221567,4.47264227441997,4.499612669076214
1026000.0,162000.0,1.470376367165047,1.4147158076610633,1.4270499686183888,1.513702765711705
1170000.0,450000.0,3.368041366420356,3.3735994381535637,3.36417846035268,3.3719042724880324
42000.0,150000.0,2.6969268951405767,2.6936093436325024,2.6892715295127787,2.7045822607683747
714000.0,174000.0,6.063769528940693,6.059717912720776,6.036982943946852,6.090556113934533
1038000.0,354000.0,2.9152285711058274,2.9161202015421988,2.9108588347246767,2.9195983074869782
738000.0,102000.0,3.587996323636231,3.61164630929824,3.55592174725908,3.620070900013382
474000.0,330000.0,5.624471390018331,5.62030077189676,5.612134520500374,5.636808259536289
870000.0,138000.0,5.720630188881521,5.731559798696743,5.708006088617659,5.733254289145383
678000.0,162000.0,4.785705734558321,4.818770563857201,4.770073762303029,4.801337706813613
378000.0,282000.0,3.320197073620408,3.312713509775744,3.3065157482810936,3.333878398959722
90000.0,198000.0,2.8416638748835488,2.8563767871542405,2.8321403993718945,2.851187350395203
894000.0,174000.0,5.633444021144061,5.612690432614944,5.617844325997437,5.649043716290684
30000.0,282000.0,4.165116137599235,4.110515059556308,4.141203253008485,4.1890290221899855
894000.0,282000.0,2.398115474230297,2.391524716588302,2.3914090265941272,2.404821921866467
198000.0,606000.0,1.8390488046496876,1.8366521419075905,1.8376693034242961,1.840428305875079
390000.0,318000.0,2.512593487304617,2.5069799845919127,2.5061742228277377,2.519012751781496
162000.0,330000.0,2.588138912629666,2.5835689056817106,2.583504773482111,2.592773051777221
870000.0,342000.0,2.4579661302726996,2.455424317836969,2.455639944833902,2.4602923157114973
894000.0,6000.0,4.58522520770147,4.616833184948522,4.546248975980359,4.62420143942258
618000.0,198000.0,4.333961281301052,4.336378912223064,4.3229082427741465,4.345014319827958
66000.0,174000.0,2.7800221320737526,2.7851831586747715,2.7725804823272466,2.7874637818202586
714000.0,126000.0,4.412975120244777,4.452853778398079,4.376468425238896,4.449481815250659
906000.0,186000.0,5.522504030911496,5.5073980348630345,5.5053513315222995,5.539656730300693
510000.0,294000.0,6.381553124925879,6.418335513508174,6.353126248167381,6.409980001684376
786000.0,162000.0,6.929078579418553,6.946775789062714,6.894992766263146,6.96316439257396
66000.0,366000.0,3.009900800109796,3.0041017954332045,3.000053981000154,3.0197476192194386
174000.0,618000.0,2.018546724176672,2.014700649492348,2.0166981185262265,2.020395329827118
366000.0,234000.0,4.026274784820116,3.9887109646596737,3.996802907812172,4.055746661828061
1026000.0,366000.0,2.7067562134296788,2.719255016344368,2.701593510338801,2.7119189165205566
882000.0,102000.0,4.642795250403059,4.64070638379947,4.637385062255391,4.648205438550726
186000.0,246000.0,4.218343305414059,4.2095501771557995,4.210381800185862,4.226304810642256
438000.0,330000.0,3.66443704657267,3.662058399729635,3.6542285803447854,3.674645512800555
606000.0,90000.0,2.829827234870914,2.824340287740854,2.820861328555973,2.8387931411858554
882000.0,66000.0,3.7282015018665766,3.7205216907864944,3.716793240050104,3.7396097636830494
642000.0,222000.0,4.3477078456525495,4.333388336598413,4.34036743908417,4.355048252220929
42000.0,246000.0,3.9782715624400447,3.9594265059355274,3.9573084698088934,3.999234655071196
858000.0,138000.0,5.634533763620231,5.638208731985795,5.621724398006633,5.647343129233829
234000.0,630000.0,1.873121978302615,1.8732302893342707,1.8725104389361686,1.8737335176690613
150000.0,330000.0,2.426048977379523,2.424231437002622,2.421615422256413,2.4304825325026327
942000.0,210000.0,5.409894405266191,5.426191197904543,5.387218002238833,5.432570808293549
486000.0,306000.0,6.744254777870731,6.7725259163491,6.713979323263465,6.774530232477997
666000.0,150000.0,4.5061271077093075,4.51538906893825,4.4933684940203635,4.518885721398251
678000.0,222000.0,5.8340031134102555,5.834085967362416,5.8223502439481765,5.8456559828723345
666000.0,114000.0,3.8739120786244596,3.880490161732685,3.8640529168542863,3.883771240394633
666000.0,198000.0,4.849365180973921,4.847586683107081,4.836991118610086,4.861739243337756
1194000.0,438000.0,3.591862677891825,3.5794645004150545,3.5846473513405614,3.599078004443088
654000.0,402000.0,2.247193287033941,2.248559676522317,2.2444455223844635,2.249941051683418
486000.0,150000.0,3.63832129695178,3.6490553500021536,3.629165993684444,3.647476600219116
354000.0,234000.0,4.380730913810678,4.278622817112212,4.347702407506266,4.413759420115089
642000.0,150000.0,4.052527502455627,4.06925080933917,4.03280164469755,4.072253360213704
210000.0,618000.0,1.8651784840951555,1.8646440869069765,1.8638844692229912,1.8664724989673198
810000.0,138000.0,5.840565535879153,5.835820402903528,5.81595827937231,5.865172792385996
654000.0,210000.0,4.447156327597026,4.451832381266601,4.4362798070983125,4.458032848095739
450000.0,522000.0,2.0507723324774254,2.048117687888297,2.0493746076396957,2.052170057315155
654000.0,198000.0,5.134324475155868,5.129997406618996,5.127042141882488,5.141606808429247
18000.0,138000.0,2.563466809546636,2.5557640538662287,2.554988978597478,2.571944640495794
