latitude,longitude,subregion_,value,imputed_value
894000.0,6000.0,9,,4.058540002419819
906000.0,6000.0,9,,4.058540002419819
906000.0,18000.0,9,,4.058540002419819
774000.0,54000.0,9,,4.058549584657262
786000.0,54000.0,9,,4.058562239670291
858000.0,54000.0,9,,4.058496208540418
870000.0,54000.0,9,,4.058500553824466
882000.0,54000.0,9,,4.058511298165236
786000.0,66000.0,9,,4.067773586617808
798000.0,66000.0,9,,4.0730636627952785
810000.0,66000.0,9,,4.075625883328033
822000.0,66000.0,9,,4.0620642126840245
834000.0,66000.0,9,,4.054467406543574
858000.0,66000.0,9,,4.042425391477401
870000.0,66000.0,9,,4.043626342444132
882000.0,66000.0,9,,4.048365707160423
942000.0,66000.0,22,,4.928041037431169
6000.0,78000.0,13,,3.0170231214902237
594000.0,78000.0,6,,3.3500973220611643
726000.0,78000.0,20,,7.067950703107323
798000.0,78000.0,9,,4.143861223373442
810000.0,78000.0,9,,4.221626449356074
858000.0,78000.0,9,,3.94842768713933
882000.0,78000.0,9,,3.96819863400939
942000.0,78000.0,22,,4.84685032069412
6000.0,90000.0,13,,3.017023120258423
18000.0,90000.0,13,,3.0170231191418644
606000.0,90000.0,6,,3.4373830778041476
738000.0,90000.0,20,,7.047812595855799
750000.0,90000.0,20,,7.043716628500488
834000.0,90000.0,9,,4.1338574841683045
846000.0,90000.0,9,,4.128535378008446
882000.0,90000.0,9,,3.94057219234458
894000.0,90000.0,21,,5.144407696704591
906000.0,90000.0,22,,4.992456214578866
918000.0,90000.0,22,,4.889510424728615
606000.0,102000.0,18,,2.696032891647231
738000.0,102000.0,20,,6.958676265724991
750000.0,102000.0,20,,6.9543021776395
870000.0,102000.0,9,,4.050570734061222
882000.0,102000.0,21,,4.726669241516952
906000.0,102000.0,22,,5.9932126443859115
942000.0,102000.0,22,,4.470813012491328
462000.0,114000.0,17,,3.3264107339214646
522000.0,114000.0,18,,2.45335788444409
534000.0,114000.0,18,,2.5991442165479777
606000.0,114000.0,18,,2.841939416665732
654000.0,114000.0,19,,4.2365957817270035
666000.0,114000.0,19,,4.21748892422589
750000.0,114000.0,20,,6.684426839694861
762000.0,114000.0,20,,6.531040918182181
798000.0,114000.0,20,,6.659126275338143
834000.0,114000.0,21,,6.834039198748246
846000.0,114000.0,21,,5.871459990396836
858000.0,114000.0,21,,4.927682982150537
882000.0,114000.0,21,,5.709074119364275
942000.0,114000.0,22,,4.550735390451589
462000.0,126000.0,17,,3.505741249657884
606000.0,126000.0,18,,2.983496583629111
642000.0,126000.0,19,,4.27158666507657
654000.0,126000.0,19,,4.151266191051664
678000.0,126000.0,19,,4.225470329514888
