latitude,longitude,subregion_,value,imputed_value
882000.0,90000.0,10,,3.952234983444214
6000.0,78000.0,14,,3.1056704700380853
6000.0,90000.0,14,,3.1056710302325627
18000.0,90000.0,14,,3.105671712595611
18000.0,138000.0,14,,3.1442052497893154
30000.0,138000.0,14,,3.120699009296861
42000.0,138000.0,14,,3.136629979222497
18000.0,150000.0,14,,3.129267005564124
42000.0,150000.0,14,,3.1447074336791334
18000.0,162000.0,14,,3.1104156141301567
6000.0,174000.0,14,,3.104939532632792
66000.0,174000.0,14,,3.0775309460279345
18000.0,186000.0,14,,3.093400451694659
30000.0,186000.0,14,,3.0740945223969933
78000.0,186000.0,14,,3.039018279496531
42000.0,198000.0,14,,3.071242342051472
222000.0,162000.0,16,,3.1412867133403743
234000.0,162000.0,16,,3.1412867133403743
198000.0,174000.0,16,,3.1412867133403743
210000.0,174000.0,16,,3.1412867133403743
222000.0,174000.0,16,,3.1412867133403743
234000.0,174000.0,16,,3.1412867133403743
198000.0,186000.0,16,,3.111396851159976
246000.0,186000.0,16,,3.1499041839920907
462000.0,114000.0,18,,3.598394216564138
462000.0,126000.0,18,,3.598394216564138
462000.0,138000.0,18,,3.598394216564138
474000.0,150000.0,18,,3.598394216564138
486000.0,150000.0,18,,3.767132511504594
486000.0,162000.0,18,,3.669085767637336
522000.0,114000.0,19,,2.2140317016213555
534000.0,114000.0,19,,2.28358199470518
570000.0,150000.0,19,,3.340507491315025
582000.0,150000.0,19,,3.507744876568138
534000.0,162000.0,19,,2.531875153164415
558000.0,162000.0,19,,2.766374414156223
570000.0,162000.0,19,,2.840337514241425
498000.0,174000.0,19,,2.3165895781923043
510000.0,174000.0,19,,2.283055875545122
522000.0,174000.0,19,,2.3195576699962563
534000.0,174000.0,19,,2.417666709135182
606000.0,102000.0,20,,3.380775709093648
606000.0,114000.0,20,,3.0032488612721746
654000.0,114000.0,20,,3.8482951329826944
666000.0,114000.0,20,,3.9537738952983705
606000.0,126000.0,20,,3.2852972197159223
642000.0,126000.0,20,,3.7579175459204754
654000.0,126000.0,20,,3.831529600763768
678000.0,126000.0,20,,4.013828009161282
606000.0,138000.0,20,,3.267361680385945
642000.0,138000.0,20,,3.69083736156703
678000.0,138000.0,20,,4.394378000302852
690000.0,138000.0,20,,4.084596810076845
642000.0,150000.0,20,,3.892421331628985
654000.0,150000.0,20,,3.8388488550195805
666000.0,150000.0,20,,4.474961614375723
606000.0,162000.0,20,,4.261008890885042
630000.0,162000.0,20,,3.6824497839347803
642000.0,162000.0,20,,3.803833226020483
654000.0,162000.0,20,,3.9209464419456324
666000.0,162000.0,20,,4.0200273215146165
678000.0,162000.0,20,,4.169704353949418
606000.0,174000.0,20,,3.844760350451687
618000.0,174000.0,20,,3.906192638077778
618000.0,186000.0,20,,3.969410061415641
630000.0,186000.0,20,,3.934304705621243
774000.0,54000.0,21,,5.7165959908000525
726000.0,78000.0,21,,5.7120169291712894
738000.0,90000.0,21,,5.682209808995232
750000.0,90000.0,21,,5.679558321317133
738000.0,102000.0,21,,5.565656669895501
750000.0,102000.0,21,,5.554942321342368
750000.0,114000.0,21,,5.252822604484732
762000.0,114000.0,21,,5.242346553230196
