latitude,longitude,imputed_value
894000.0,6000.0,4.736379934960874
906000.0,6000.0,4.366753994807195
906000.0,18000.0,3.5794644752920637
774000.0,54000.0,3.2158692462891505
786000.0,54000.0,3.4454583414168187
858000.0,54000.0,3.5582497928874037
870000.0,54000.0,3.630391055067869
882000.0,54000.0,3.7173096831161274
786000.0,66000.0,3.7964807539394276
798000.0,66000.0,3.8332411585428656
810000.0,66000.0,3.7621537008687884
822000.0,66000.0,3.650366960008166
834000.0,66000.0,3.631278121267765
858000.0,66000.0,3.718026517340903
870000.0,66000.0,3.79105160319596
882000.0,66000.0,3.7314252242206516
942000.0,66000.0,3.706803236843309
6000.0,78000.0,1.5261631630367865
594000.0,78000.0,2.937014909700577
726000.0,78000.0,2.347925207067828
798000.0,78000.0,4.174418906955078
810000.0,78000.0,4.150560216022743
858000.0,78000.0,3.9039386091349324
882000.0,78000.0,3.879140970208096
942000.0,78000.0,3.864840988748751
6000.0,90000.0,1.730729422241101
18000.0,90000.0,1.665562943146223
606000.0,90000.0,2.78355098712705
738000.0,90000.0,3.011986541135609
750000.0,90000.0,3.3765251546662105
834000.0,90000.0,4.343761046013602
846000.0,90000.0,4.127049128906853
882000.0,90000.0,4.055053391270305
894000.0,90000.0,4.300471319825301
906000.0,90000.0,3.8494858206817884
918000.0,90000.0,4.512907053534875
606000.0,102000.0,2.850476368118607
738000.0,102000.0,3.6150091005389973
750000.0,102000.0,3.7995150849984816
870000.0,102000.0,4.259039891286664
882000.0,102000.0,4.63768812819636
906000.0,102000.0,5.340858744733543
942000.0,102000.0,4.31272544377612
462000.0,114000.0,3.5031821615442955
522000.0,114000.0,2.5733812601761357
534000.0,114000.0,2.6220987521286294
606000.0,114000.0,3.103343907797017
654000.0,114000.0,3.771017679846231
666000.0,114000.0,3.8718794203618887
750000.0,114000.0,4.297686764785049
762000.0,114000.0,4.767915722505476
798000.0,114000.0,5.1594626056751345
834000.0,114000.0,5.136012147589262
846000.0,114000.0,5.236942530284466
858000.0,114000.0,5.286344839661936
882000.0,114000.0,4.224237058653051
942000.0,114000.0,3.9375193271208815
462000.0,126000.0,3.7872167177042932
606000.0,126000.0,3.380374455049172
642000.0,126000.0,3.827361170694228
654000.0,126000.0,3.8930608413373595
678000.0,126000.0,4.004719980355749
714000.0,126000.0,4.456370516118989
726000.0,126000.0,4.574634499741394
738000.0,126000.0,4.737398372971845
750000.0,126000.0,4.8861917231839485
762000.0,126000.0,5.0366488008410775
798000.0,126000.0,5.667080451668798
810000.0,126000.0,5.564977721470458
822000.0,126000.0,5.57631619167857
834000.0,126000.0,5.53554172737328
858000.0,126000.0,5.465540952843817
