latitude,longitude,value,imputed_value,mse,method
894000,6000,5.341691494,4.063996666063049,1.6325040733368357,SVM_Original
906000,6000,5.621836185,4.063996666063049,2.426863966761713,SVM_Original
906000,18000,5.608723164,4.063996666063049,2.3861799534285573,SVM_Original
786000,54000,4.206410885,4.063997595878438,0.020281544918421778,SVM_Original
786000,66000,4.141295433,4.065942143879555,0.00567811818126933,SVM_Original
798000,66000,4.142486572,4.069740569641827,0.005291980859095275,SVM_Original
810000,66000,4.021750927,4.074934877395024,0.002828532579620349,SVM_Original
858000,66000,4.136784077,4.05226895233057,0.007142806297889296,SVM_Original
870000,66000,4.060382843,4.055748072221376,2.1481100170389575e-05,SVM_Original
594000,78000,2.674547434,3.0318420471600542,0.12765944059319284,SVM_Original
798000,78000,4.074169159,4.137779587506925,0.004046286614834588,SVM_Original
810000,78000,3.87759757,4.205111828908659,0.107265589788488,SVM_Original
882000,78000,3.889431,4.024912835404131,0.01835532772447209,SVM_Original
6000,90000,2.349380016,3.00122455574204,0.424901303991512,SVM_Original
18000,90000,2.369478703,3.001224537934021,0.39910279995648335,SVM_Original
738000,90000,3.435080767,6.8943401415267775,11.966475420251392,SVM_Original
750000,90000,3.490111828,6.893018393392698,11.579773092792728,SVM_Original
834000,90000,4.053636551,4.141119800366236,0.007653318919675007,SVM_Original
846000,90000,3.897060633,4.130588001644787,0.054535031906158125,SVM_Original
894000,90000,4.788927078,4.73709651648764,0.002686407106686532,SVM_Original
918000,90000,5.810172558,5.258360049878713,0.3044970441191047,SVM_Original
738000,102000,3.410098791,6.852464937129292,11.849884684017034,SVM_Original
750000,102000,3.23186636,6.842182065769507,13.034379495325975,SVM_Original
870000,102000,3.539913177,4.0586626272118025,0.2691009920950475,SVM_Original
942000,102000,4.606440067,4.393506094664964,0.04534087657437791,SVM_Original
606000,114000,2.760525465,2.793641718266445,0.0010966862304073192,SVM_Original
654000,114000,3.738617182,4.182093865321911,0.19667156865020258,SVM_Original
666000,114000,3.705513239,4.162868605797308,0.20917393153829997,SVM_Original
750000,114000,3.597315788,6.616085464841715,9.112970361819034,SVM_Original
762000,114000,4.518332005,6.524093971968594,4.0230810681377225,SVM_Original
834000,114000,5.346082687,6.442251647776739,1.2015863905703552,SVM_Original
846000,114000,4.743641853,5.879100613681454,1.2892665972082646,SVM_Original
858000,114000,4.671330452,5.306930785119929,0.4039877834621649,SVM_Original
882000,114000,4.250344276,4.891553633022194,0.4111494395328154,SVM_Original
942000,114000,4.254964352,4.419600385844516,0.027105023640052718,SVM_Original
606000,126000,2.827543497,2.857901034134348,0.0009215800608632956,SVM_Original
642000,126000,3.210127354,4.176873881288303,0.9345988480239943,SVM_Original
678000,126000,3.936291695,4.25868275273691,0.10393599410872394,SVM_Original
714000,126000,3.451794624,5.822557156079079,5.620514983510007,SVM_Original
726000,126000,3.477403164,5.991876937939551,6.3225783598298095,SVM_Original
750000,126000,4.498222828,6.1793345581080965,2.8261366491070365,SVM_Original
762000,126000,4.775556087,5.881679282742859,1.2235085241603942,SVM_Original
798000,126000,7.464998722,5.345946125768316,4.4903839055962385,SVM_Original
810000,126000,6.994415283,5.6408229277586015,1.8322122641679575,SVM_Original
834000,126000,6.190217018,6.726459600933419,0.28755610775110424,SVM_Original
870000,126000,5.018553734,4.810189994938135,0.04341544775584111,SVM_Original
954000,126000,3.593407154,4.258463995563421,0.44230060251031333,SVM_Original
