latitude,longitude,subregion_,value,imputed_value
894000.0,6000.0,9,,3.568382901388014
906000.0,6000.0,9,,3.568382901388014
906000.0,18000.0,9,,3.568382901388014
774000.0,54000.0,21,,5.7165959908000525
786000.0,54000.0,9,,3.568382901388014
858000.0,54000.0,9,,3.5683382129329284
870000.0,54000.0,9,,3.5683995383810614
882000.0,54000.0,9,,3.5684014941046516
786000.0,66000.0,22,,6.481971283908366
798000.0,66000.0,9,,3.568382901388014
810000.0,66000.0,9,,3.5683829013879196
822000.0,66000.0,9,,3.568382895154567
834000.0,66000.0,9,,3.568370998675801
858000.0,66000.0,9,,3.5642124777597104
870000.0,66000.0,9,,3.5740181676798053
882000.0,66000.0,9,,3.56897738997638
942000.0,66000.0,23,,4.929544233466781
6000.0,78000.0,14,,3.1056704700380853
594000.0,78000.0,6,,2.8218486215478737
726000.0,78000.0,21,,5.7120169291712894
798000.0,78000.0,22,,6.482281867198071
810000.0,78000.0,9,,3.5683829013880017
858000.0,78000.0,9,,3.5881338119506836
882000.0,78000.0,9,,3.571803604660233
942000.0,78000.0,23,,4.973155717763076
6000.0,90000.0,14,,3.1056710302325627
18000.0,90000.0,14,,3.105671712595611
606000.0,90000.0,6,,3.0183190220711045
738000.0,90000.0,21,,5.682209808995232
750000.0,90000.0,21,,5.679558321317133
834000.0,90000.0,9,,3.5683828293853415
846000.0,90000.0,9,,3.5669847810840296
882000.0,90000.0,10,,
894000.0,90000.0,23,,4.722776403900039
906000.0,90000.0,23,,4.828933948474013
918000.0,90000.0,23,,5.32916000590917
606000.0,102000.0,20,,3.380775709093648
738000.0,102000.0,21,,5.565656669895501
750000.0,102000.0,21,,5.554942321342368
870000.0,102000.0,23,,4.60250942403727
882000.0,102000.0,23,,4.594552148689913
906000.0,102000.0,23,,5.378644017109264
942000.0,102000.0,23,,4.839916440575565
462000.0,114000.0,18,,3.598394216564138
522000.0,114000.0,19,,2.2119921438976395
534000.0,114000.0,19,,2.3322662544410697
606000.0,114000.0,20,,3.0032488612721746
654000.0,114000.0,20,,3.8482951329826944
666000.0,114000.0,20,,3.9537738952983705
750000.0,114000.0,21,,5.252822604484732
762000.0,114000.0,21,,5.242346553230196
798000.0,114000.0,22,,6.536636665385286
834000.0,114000.0,22,,6.005164673551549
846000.0,114000.0,22,,5.753882321766535
858000.0,114000.0,22,,5.715022107190806
882000.0,114000.0,23,,4.493826968118236
942000.0,114000.0,23,,4.608139113263125
462000.0,126000.0,18,,3.598394216564138
606000.0,126000.0,20,,3.2852972197159223
642000.0,126000.0,20,,3.7579175459204754
654000.0,126000.0,20,,3.838800790087104
678000.0,126000.0,20,,4.013828009161282
714000.0,126000.0,21,,4.981138432767674
726000.0,126000.0,21,,4.957929253582879
738000.0,126000.0,21,,4.930327347017981
750000.0,126000.0,21,,4.864247792611206
762000.0,126000.0,21,,4.817771918705404
798000.0,126000.0,22,,6.959073185870998
810000.0,126000.0,22,,6.633510929314112
822000.0,126000.0,22,,6.4710050948315905
834000.0,126000.0,22,,6.0989983044958755
858000.0,126000.0,22,,5.689380158021173
870000.0,126000.0,22,,5.736368199547409
894000.0,126000.0,23,,4.67291128917111
954000.0,126000.0,23,,4.4042273308685305
18000.0,138000.0,14,,3.1442052497893154
30000.0,138000.0,14,,3.120699009296861
42000.0,138000.0,14,,3.136629979222497
462000.0,138000.0,18,,3.598394216564138
606000.0,138000.0,20,,3.267361680385945
642000.0,138000.0,20,,3.69083736156703
678000.0,138000.0,20,,4.393945585813809
690000.0,138000.0,20,,4.084596810076845
702000.0,138000.0,21,,4.5924141652004185
714000.0,138000.0,21,,4.668248012257769
726000.0,138000.0,21,,5.6982260355076235
738000.0,138000.0,21,,4.694354658251757
762000.0,138000.0,21,,5.208817011639212
774000.0,138000.0,21,,4.74469195083689
786000.0,138000.0,22,,5.9230414046689885
810000.0,138000.0,22,,6.452722950373735
822000.0,138000.0,22,,7.655545811265218
858000.0,138000.0,22,,5.4170697114506
870000.0,138000.0,22,,5.537711852285816
882000.0,138000.0,23,,4.417434158952637
894000.0,138000.0,23,,4.387444189319559
