latitude,longitude,value
102000,558000,2.282711744
354000,558000,1.738002419
366000,558000,1.708684683
378000,558000,1.719856739
102000,570000,2.193579912
342000,570000,1.748478413
114000,582000,2.233968496
342000,582000,1.815139651
114000,594000,2.084658623
342000,594000,1.749154568
114000,606000,1.934875011
186000,606000,1.458342075
198000,606000,1.452604413
342000,606000,1.841825485
126000,618000,1.862122416
174000,618000,1.619261622
210000,618000,1.467314005
342000,618000,1.897880554
138000,630000,2.304810047
174000,630000,1.613859415
222000,630000,1.49664855
234000,630000,1.602286935
342000,630000,1.910398364
150000,642000,1.928914547
162000,642000,1.764884114
174000,642000,1.620377064
246000,642000,1.679421425
258000,642000,1.685501099
330000,642000,1.743318677
270000,654000,1.619463205
282000,654000,1.71266818
294000,654000,1.693436265
306000,654000,1.629487157
318000,654000,1.727394581
774000,54000,
858000,54000,
870000,54000,
882000,54000,
822000,66000,
834000,66000,
882000,66000,
942000,66000,
6000,78000,
726000,78000,
942000,78000,
606000,90000,
906000,90000,
606000,102000,
462000,114000,
798000,114000,
462000,126000,
738000,126000,
822000,126000,
642000,150000,
222000,162000,
234000,162000,
570000,162000,
666000,162000,
714000,162000,
930000,162000,
1026000,162000,
6000,174000,
198000,174000,
1026000,174000,
906000,186000,
1026000,186000,
1038000,186000,
90000,198000,
594000,198000,
606000,198000,
258000,210000,
462000,210000,
390000,222000,
534000,222000,
186000,234000,
354000,234000,
402000,234000,
42000,246000,
1014000,258000,
1026000,258000,
390000,270000,
390000,282000,
690000,342000,
978000,354000,
1002000,366000,
1062000,378000,
1074000,414000,
1170000,414000,
642000,426000,
1134000,426000,
426000,546000,
138000,642000,
